BGP table version is 16188164, local router ID is 217.192.89.52
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  0.0.0.0/8        192.168.1.1              0    300      0 (65000 65098) i
 *   1.0.0.0/24       138.187.128.50      500000    300      0 (65000) 13335 i
 *   1.0.4.0/24       138.187.128.35      550000    300      0 (65000) 3257 4826 38803 56203 i
 *   1.0.4.0/22       138.187.128.35      550000    300      0 (65000) 3257 4826 38803 56203 i
 *   1.0.5.0/24       138.187.128.35      550000    300      0 (65000) 3257 4826 38803 56203 i
 *   1.0.6.0/24       138.187.128.35      550000    300      0 (65000) 3257 4826 38803 56203 i
 *   1.0.7.0/24       138.187.128.35      550000    300      0 (65000) 3257 4826 38803 56203 i
 *   1.0.16.0/24      138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.0.64.0/18      138.187.128.71      550000    300      0 (65000) 2497 7670 18144 i
 *   1.0.128.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.128.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.128.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.128.0/17     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.129.0/24     138.187.128.71      550000    300      0 (65000) 4651 23969 ?
 *   1.0.131.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.132.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.136.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.137.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.138.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.139.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.142.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.143.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.144.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.160.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.160.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.164.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.165.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.166.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.167.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.168.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.172.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.176.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.192.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.192.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.192.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.200.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.201.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.202.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.203.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.204.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.208.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.210.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.212.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.214.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.215.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.220.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.221.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.223.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.0.224.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.0.240.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.0.248.0/21     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.1.1.0/24       138.187.128.50      500000    300      0 (65000) 13335 i
 *   1.1.8.0/24       138.187.128.71      550000    300      0 (65000) 4134 i
 *   1.1.20.0/24      138.187.128.71      550100    300      0 (65000) 4637 133948 i
 *   1.1.64.0/19      138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.103.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.104.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.105.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.106.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.107.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.108.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.109.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.110.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.111.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.112.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.113.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.114.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.115.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.116.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.117.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.118.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.119.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.120.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.121.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.122.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.123.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.124.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.125.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.126.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.127.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.128.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.128.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.128.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
